City,RMSE,MAE,DataPoints
Bengaluru,20.39569226997276,16.44002602702863,48192
Coimbatore,26.95810047596888,21.905519986231322,9229
Chennai,34.167039242991606,26.559971748058842,48192
Guwahati,34.70104419517991,30.270708899435697,12002
Hyderabad,36.06778899491111,30.56184842254914,48107
Mumbai,40.71211773084535,35.63585246592786,48192
Jorapokhar,50.18561985187102,41.155843667948446,28025
Amaravati,51.393135418075175,45.06265351581824,22784
Jaipur,52.26139042466685,47.13285646582437,26705
Aizawl,53.21358627278351,40.402995419177216,2680
Thiruvananthapuram,57.55764350332129,54.08770987719776,26651
Patna,61.80020293493358,42.621943714706994,44554
Visakhapatnam,66.49470371702552,59.19139675633972,35053
Lucknow,69.51323020766804,56.85505524593608,48192
Gurugram,70.4996588957637,60.977369766649936,40258
Delhi,73.05261007319704,61.78817410227012,48192
Amritsar,80.83603892414327,69.56234393002202,29269
Kolkata,82.69941851948506,78.35704900285442,19503
Chandigarh,124.54388003471361,112.11412643173747,7263
Talcher,154.9767805703062,151.5243024533145,22161
Ernakulam,175.97565150484203,149.06736104312571,3852
Ahmedabad,188.187127274143,170.90782124224734,48192
Brajrajnagar,189.47180339693853,176.4413773178512,22468
Kochi,322.3367611459503,272.4968039420427,3854
Shillong,436.0975347012656,317.2720421562984,7402
Bhopal,3147.218996536961,2427.3772199255036,6903
